"","State","Lat","Long"
"231","Utah",40.15,-111.8624
"232","Ventura, CA",34.3705,-119.1391
"233","Vermont",44.0459,-72.7107
"234","Virgin Islands",18.3358,-64.8963
"235","Virginia",37.7693,-78.17
"236","Volusia County, FL",29.028,-81.0755
"237","Wake County, NC",35.8032,-78.5661
"238","Washington",47.4009,-121.4905
"239","Washington County, OR",45.547,-123.1386
"240","Washington, D.C.",38.9072,-77.0369
"241","Washoe County, NV",40.5608,-119.6035
"242","Wayne County, PA",41.6739,-75.2479
"243","Wayne, MI",42.2791,-83.3362
"244","Weber, UT",41.2603,-111.9522
"245","West Virginia",38.4912,-80.9545
"246","Westchester County, NY",41.122,-73.7949
"247","Whatcom, WA",48.8787,-121.9719
"248","Williamson County, TN",35.9179,-86.8622
"249","Wisconsin",44.2685,-89.6165
"250","Worcester, MA",42.4097,-71.8571
"251","Wuhan Evacuee",0,0
"252","Wyoming",42.756,-107.3025
"253","Yolo County, CA",38.7646,-121.9018
